"HomeTeam","AwayTeam",HF,AF,HC,AC,HTHG,HTAG,RedsPerGame,YellowsPerGame,FaulesPerGame,AwayRedsPerGame,AwayYellowsPerGame,AwayFaulesPerGame,WinsPerGame,AwayWinsPerGame,Paciencia
"Burnley","Middlesbrough",17,18,6,17,0,0,0.0395,1.6513,10.6316,0.0822,1.6875,12.9178,0.2632,0.2632,0.1546
"Chelsea","Bournemouth",13,14,1,3,1,0,0.0882,1.6115,11.1981,0.0439,1.3860,9.3421,0.5913,0.2982,0.1411
"Hull","Man City",11,14,1,2,0,0,0.1263,1.7368,12.2526,0.0855,1.6201,11.5378,0.2158,0.4951,0.1516
"Leicester","Everton",14,7,3,6,0,0,0.1015,1.5451,11.8872,0.0851,1.5139,12.1517,0.3120,0.3824,0.1692
"Man United","Sunderland",6,9,1,3,1,0,0.0604,1.5062,11.1223,0.0959,1.8233,12.2895,0.6362,0.2387,0.1564
"Swansea","West Ham",10,12,0,0,0,1,0.0526,1.3910,9.9135,0.0789,1.7491,11.8281,0.3083,0.3123,0.1594
"Watford","Crystal Palace",18,17,2,8,0,1,0.0921,1.7632,13.0263,0.0368,1.7263,12.0526,0.2566,0.3158,0.1526
"Liverpool","Stoke",9,6,0,1,2,1,0.0604,1.3607,10.9412,0.0789,1.8105,11.7605,0.5217,0.3053,0.1505
"Southampton","Tottenham",7,16,3,6,1,1,0.0737,1.3816,11.9921,0.0743,1.4907,11.2771,0.3421,0.4644,0.1695
"Hull","Everton",10,13,2,6,1,1,0.1263,1.7368,12.2526,0.0851,1.5139,12.1517,0.2158,0.3824,0.1610
"Burnley","Sunderland",10,8,1,3,1,0,0.0395,1.6513,10.6316,0.0959,1.8233,12.2895,0.2632,0.2387,0.1369
"Chelsea","Stoke",12,10,3,8,1,0,0.0882,1.6115,11.1981,0.0789,1.8105,11.7605,0.5913,0.3053,0.1516
"Leicester","West Ham",11,8,5,13,1,0,0.1015,1.5451,11.8872,0.0789,1.7491,11.8281,0.3120,0.3123,0.1677
"Liverpool","Man City",12,12,2,5,1,0,0.0604,1.3607,10.9412,0.0855,1.6201,11.5378,0.5217,0.4951,0.1546
"Man United","Middlesbrough",9,14,1,3,0,0,0.0604,1.5062,11.1223,0.0822,1.6875,12.9178,0.6362,0.2632,0.1450
"Southampton","West Brom",13,17,3,5,1,1,0.0737,1.3816,11.9921,0.0622,1.6196,11.3469,0.3421,0.2536,0.1411
"Swansea","Bournemouth",14,9,2,4,0,2,0.0526,1.3910,9.9135,0.0439,1.3860,9.3421,0.3083,0.2982,0.1614
"Arsenal","Crystal Palace",9,7,1,3,1,0,0.0882,1.5186,11.0464,0.0368,1.7263,12.0526,0.5728,0.3158,0.1594
"Watford","Tottenham",11,6,3,6,0,3,0.0921,1.7632,13.0263,0.0743,1.4907,11.2771,0.2566,0.4644,0.1505
"Everton","Southampton",5,14,0,1,0,0,0.0851,1.5139,12.1517,0.0737,1.3816,11.9921,0.3824,0.3421,0.1614
"Man City","Burnley",11,11,6,11,0,0,0.0855,1.6201,11.5378,0.0395,1.6513,10.6316,0.4951,0.2632,0.1450
"Middlesbrough","Leicester",10,9,3,6,0,0,0.0822,1.6875,12.9178,0.1015,1.5451,11.8872,0.2632,0.3120,0.1516
